file,task,config,optimizer,cell,hidden,cemb,score,all-acc,all-pre,all-rec,kno-tok-acc,kno-tok-pre,kno-tok-rec,unk-tok-acc,unk-tok-pre,unk-tok-rec,amb-tok-acc,amb-tok-pre,amb-tok-rec,unk-tar-acc,unk-tar-pre,unk-tar-rec,rank-all-acc,rank-all-pre,rank-all-rec,rank-kno-tok-acc,rank-kno-tok-pre,rank-kno-tok-rec,rank-unk-tok-acc,rank-unk-tok-pre,rank-unk-tok-rec,rank-amb-tok-acc,rank-amb-tok-pre,rank-amb-tok-rec,rank-unk-tar-acc,rank-unk-tar-pre,rank-unk-tar-rec
./models/latin-upvc-single-lemma-complexe-lemma-2021_02_26-10_27_08.tar,lemma,Adam-GRU-H170-C200,Adam,GRU,170,200,0.0,89.99000000000001,45.28,42.089999999999996,91.34,50.05,47.03,62.470000000000006,40.54,38.6,85.16,37.75,40.739999999999995,42.84,27.389999999999997,27.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./models/latin-upvc-single-lemma-complexe-lemma-2021_02_26-11_47_07.tar,lemma,Adam-GRU-H170-C200,Adam,GRU,170,200,0.0,94.56,66.18,64.73,95.39,73.28,72.38,77.63,58.440000000000005,57.38999999999999,87.66000000000001,50.88,54.65,52.629999999999995,36.15,35.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./models/latin-upvc-single-lemma-complexe-lemma-2021_02_25-21_09_16.tar,lemma,Adam-GRU-H170-C200,Adam,GRU,170,200,0.0,94.77,67.03,65.77,95.62,75.44999999999999,74.7,77.47,57.18,56.19,88.0,53.73,56.82000000000001,49.370000000000005,32.98,32.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./models/latin-upvc-single-lemma-complexe-lemma-2021_02_25-19_27_26.tar,lemma,Adam-GRU-H170-C200,Adam,GRU,170,200,0.0,94.78999999999999,66.91,65.68,95.58,74.27,73.42999999999999,78.83,59.43000000000001,58.60999999999999,87.9,52.790000000000006,56.24,51.54,34.599999999999994,34.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./models/latin-upvc-single-lemma-complexe-lemma-2021_02_26-01_07_36.tar,lemma,Adam-GRU-H170-C200,Adam,GRU,170,200,0.0,94.84,66.02,65.29,95.69,74.89,74.56,77.4,56.21000000000001,55.720000000000006,88.03999999999999,52.849999999999994,56.330000000000005,41.120000000000005,26.0,25.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./models/latin-upvc-single-lemma-complexe-lemma-2021_02_26-04_33_55.tar,lemma,Adam-GRU-H170-C200,Adam,GRU,170,200,0.0,94.97,68.2,67.13,95.78,76.42,75.89,78.38000000000001,58.650000000000006,57.86,88.16000000000001,53.83,56.910000000000004,49.28,32.97,32.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./models/latin-upvc-single-lemma-complexe-lemma-2021_02_26-07_16_37.tar,lemma,Adam-GRU-H170-C200,Adam,GRU,170,200,0.0,95.1,69.97,69.08,95.87,78.13,77.7,79.47,60.47,59.68,88.17,53.800000000000004,57.220000000000006,49.91,33.29,33.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./models/latin-upvc-single-lemma-complexe-lemma-2021_02_26-02_32_22.tar,lemma,Adam-GRU-H170-C200,Adam,GRU,170,200,0.0,95.48,71.45,70.75,96.17999999999999,79.82000000000001,79.49000000000001,81.23,62.03999999999999,61.53999999999999,88.61,55.47,58.75,48.28,31.919999999999998,31.830000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./models/latin-upvc-single-lemma-complexe-lemma-2021_02_26-10_03_50.tar,lemma,Adam-GRU-H170-C200,Adam,GRU,170,200,0.0,95.65,73.25,72.64,96.34,81.69999999999999,81.5,81.62,63.160000000000004,62.67,88.94,57.78,60.480000000000004,49.0,32.4,32.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./models/latin-upvc-single-lemma-complexe4-lemma-2021_02_28-08_41_32.tar,lemma,Adam-LSTM-H128-C300,Adam,LSTM,128,300,0.0,95.7,73.65,72.6,96.3,79.95,79.34,83.54,66.58,65.9,89.28,55.63,58.309999999999995,58.699999999999996,41.89,41.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
