title,file,tokens
"Caes, BC, 1",Caesar_BellumCivile_CaesBC1.tsv,11104
"Caes, BC, 2",Caesar_BellumCivile_CaesBC2.tsv,6495
"Caes, BC, 3",Caesar_BellumCivile_CaesBC3.tsv,15322
"Caes, BG, 1",Caesar_BellumGallicum_CaesBG1.tsv,8166
"Caes, BG, 2",Caesar_BellumGallicum_CaesBG2.tsv,4230
"Caes, BG, 3",Caesar_BellumGallicum_CaesBG3.tsv,3637
"Caes, BG, 4",Caesar_BellumGallicum_CaesBG4.tsv,4601
"Caes, BG, 5",Caesar_BellumGallicum_CaesBG5.tsv,7514
"Caes, BG, 6",Caesar_BellumGallicum_CaesBG6.tsv,5568
"Caes, BG, 7",Caesar_BellumGallicum_CaesBG7.tsv,11640
"Cat, Agr",Cato_CatoAgricultura_CatAgr.tsv,15814
"Cat, Frag",Cato_CatoFragmentaReliqua_CatFrag.tsv,490
"Cat, Orat",Cato_CatoOrationumFragmenta_CatOrat.tsv,2678
"Cat, Orig",Cato_CatoOrigines_CatOrig.tsv,852
Catul,Catullus_Catullus_Catul.tsv,13020
"Cic, Metel",Cicero_ContraContionemQMetelliFragmenta_CicMetel.tsv,114
"Cic, Amici",Cicero_DeAmicitia_CicAmici.tsv,9272
"Cic, Domo",Cicero_DeDomoSua_CicDomo.tsv,14928
"Cic, Harus",Cicero_DeHaruspicumResponso_CicHarus.tsv,7477
"Cic, DeImp",Cicero_DeImperioCnPompei_CicDeImp.tsv,6615
"Cic, LegA, 1",Cicero_DeLegeAgraria_CicLegA1.tsv,2278
"Cic, LegA, 2",Cicero_DeLegeAgraria_CicLegA2.tsv,10082
"Cic, LegA, 3",Cicero_DeLegeAgraria_CicLegA3.tsv,1233
"Cic, Offic, 1",Cicero_DeOfficiis_CicOffic1.tsv,14574
"Cic, Offic, 2",Cicero_DeOfficiis_CicOffic2.tsv,8572
"Cic, Offic, 3",Cicero_DeOfficiis_CicOffic3.tsv,11123
"Cic, Prov",Cicero_DeProvinciisConsularibus_CicProv.tsv,5024
"Cic, Alex",Cicero_DeRegeAlexandrinoFragmenta_CicAlex.tsv,120
"Cic, Senec",Cicero_DeSenectute_CicSenec.tsv,8227
"Cic, DivCa",Cicero_DivinatioinQCaecilium_CicDivCa.tsv,5792
"Cic, Cat, 1",Cicero_InCatilinam_CicCat1.tsv,3288
"Cic, Cat, 2",Cicero_InCatilinam_CicCat2.tsv,3057
"Cic, Cat, 3",Cicero_InCatilinam_CicCat3.tsv,3143
"Cic, Cat, 4",Cicero_InCatilinam_CicCat4.tsv,2836
"Cic, Pis",Cicero_InLCalpurniumPisonem_CicPis.tsv,10814
"Cic, Clodi",Cicero_InPClodiumEtCCurionemFragmenta_CicClodi.tsv,619
"Cic, TogCan",Cicero_InSenatuInTogaCandidaContraCAntoniumEtLCatilinamCompetitoresFragmenta_CicTogCan.tsv,704
"Cic, Vatin",Cicero_InVatinium_CicVatin.tsv,4441
Ver,Cicero_InVerremActioPrima_Cic1Ver.tsv,4611
"Ver, 1",Cicero_InVerremActioSecunda_Cic2Ver1.tsv,15331
"Ver, 2",Cicero_InVerremActioSecunda_Cic2Ver2.tsv,18897
"Ver, 3",Cicero_InVerremActioSecunda_Cic2Ver3.tsv,24734
"Ver, 4",Cicero_InVerremActioSecunda_Cic2Ver4.tsv,17028
"Ver, 5",Cicero_InVerremActioSecunda_Cic2Ver5.tsv,19072
"Cic, IncFr",Cicero_Incertarum0rationumFragmenta_CicIncFr.tsv,318
"Cic, AerAl",Cicero_InterrogatioDeAereAlienoMilonisFragmenta_CicAerAl.tsv,214
"Cic, Phi, 1",Cicero_PhilippicaOratio_CicPhi01.tsv,3652
"Cic, Phi, 2",Cicero_PhilippicaOratio_CicPhi02.tsv,11212
"Cic, Phi, 3",Cicero_PhilippicaOratio_CicPhi03.tsv,3753
