form	lemma	POS	morph	treated_token
Et	et2	CONcoo	MORPH=empty	et
dixit	dico?	VER	Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3	dixit
deus	deus	NOMcom	Case=Nom|Numb=Sing	deus
educant	educo?	VER	Numb=Plur|Mood=Sub|Tense=Pres|Voice=Act|Person=3	educant
aquae	aqua	NOMcom	Case=Nom|Numb=Plur	aquae
reptilia	reptilis	ADJqua	Case=Nom|Numb=Plur|Deg=Pos	reptilia
animarum	anima	NOMcom	Case=Gen|Numb=Plur	animarum
uiuarum	uiuus2	ADJqua	Case=Gen|Numb=Plur|Deg=Pos	uiuarum
et	et2	CONcoo	MORPH=empty	et
uolatilia	uolatilis	ADJqua	Case=Acc|Numb=Plur|Deg=Pos	uolatilia
super	super2	PRE	MORPH=empty	super
terram	terra	NOMcom	Case=Acc|Numb=Sing	terram
secundum	secundus?	PRE	Case=Nom|Numb=Sing	secundum
firmamentum	firmamentum	NOMcom	Case=Acc|Numb=Sing	firmamentum
caeli	caelum?	NOMcom	Case=Gen|Numb=Sing	caeli
.	.	PUNC	MORPH=empty	.
et	et2	CONcoo	MORPH=empty	et
factum	facio	VER	Case=Nom|Numb=Sing|Voice=Pass	factum
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	est
sic	sic	ADV	Deg=Pos	sic
.	.	PUNC	MORPH=empty	.
et	et2	CONcoo	MORPH=empty	et
fecit	facio	VER	Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3	fecit
deus	deus	NOMcom	Case=Nom|Numb=Sing	deus
cetos	cetus	ADJqua	Case=Acc|Numb=Plur|Deg=Pos	cetos
magnos	magnus	ADJqua	Case=Acc|Numb=Plur|Deg=Pos	magnos
et	et2	CONcoo	MORPH=empty	et
omne	omnis	PROind	Case=Acc|Numb=Sing	omne
animal	animal	NOMcom	Case=Acc|Numb=Sing	animal
reptilium	reptilis	ADJqua	Case=Gen|Numb=Sing|Deg=Pos	reptilium
