form	lemma	POS	morph	treated_token
Priori	prior	ADJord	Case=Dat|Numb=Sing|Deg=Comp	priori
quidem	quidem	ADV	Deg=Pos	quidem
uolumine	uolumen	NOMcom	Case=Abl|Numb=Sing	uolumine
karissime	care	ADV	Case=Voc|Deg=Sup	karissime
mihi	ego	PROper	Case=Dat|Numb=Sing	mihi
Epaphrodite	epaphrodite	ADV	MORPH=empty	epaphrodite
de	de	PRE	MORPH=empty	de
antiquitate	antiquitas	NOMcom	Case=Abl|Numb=Sing	antiquitate
nostra	noster	PROpos	Case=Abl|Numb=Sing	nostra
monstraui	monstro	VER	Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=1	monstraui
Phoenicum	phoenix	NOMcom	Case=Acc|Numb=Plur	phoenicum
et	et2	CONcoo	MORPH=empty	et
Chaldaeorum	chaldaeus	NOMcom	Case=Gen|Numb=Plur	chaldaeorum
Aegyptiorum	aegyptium	NOMcom	Case=Gen|Numb=Plur	aegyptiorum
-que	que	CONcoo	MORPH=empty	-que
litteris	littera	NOMcom	Case=Dat|Numb=Plur	litteris
satisfaciens	satisfacio	VER	Case=Nom|Numb=Sing|Mood=Par|Tense=Pres|Voice=Act	satisfaciens
ueritati	ueritas	NOMcom	Case=Dat|Numb=Sing	ueritati
multos	multus	ADJqua	Case=Acc|Numb=Plur|Deg=Pos	multos
-que	que	CONcoo	MORPH=empty	-que
Graecorum	graecus	ADJqua	Case=Gen|Numb=Plur|Deg=Pos	graecorum
conscriptores	conscriptor	NOMcom	Case=Acc|Numb=Plur	conscriptores
adducens	adduco	VER	Case=Nom|Numb=Sing|Mood=Par|Tense=Pres|Voice=Act	adducens
et	et2	CONcoo	MORPH=empty	et
meam	meus	PROpos	Case=Acc|Numb=Sing	meam
e	ex	PRE	MORPH=empty	e
diuerso	diuersum	NOMcom	Case=Abl|Numb=Sing	diuerso
disputationem	disputatio	NOMcom	Case=Acc|Numb=Sing	disputationem
aduersus	aduersus3	PRE	MORPH=empty	aduersus
Manethonem	manetho	NOMcom	Case=Acc|Numb=Sing	manethonem
et	et2	CONcoo	MORPH=empty	et
Chaeremonem	chaeremon	NOMcom	Case=Acc|Numb=Sing	chaeremonem
et	et2	CONcoo	MORPH=empty	et
alios	alius	PROind	Case=Acc|Numb=Plur	alios
quosdam	quidam	PROind	Case=Acc|Numb=Plur	quosdam
exhibui	exhibeo	VER	Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=1	exhibui
.	.	PUNC	MORPH=empty	.
nunc	nunc	ADV	Deg=Pos	nunc
autem	autem	CONcoo	MORPH=empty	autem
inchoabo	inchoo	VER	Numb=Sing|Mood=Ind|Tense=Fut|Voice=Act|Person=1	inchoabo
reliquos	reliqui	NOMcom	Case=Acc|Numb=Plur	reliquos
arguere	arguo	VER	Mood=Inf|Tense=Pres|Voice=Act	arguere
qui	qui1	PROrel	Case=Nom|Numb=Plur	qui
contra	contra2	PRE	MORPH=empty	contra
nos	nos	PROper	Case=Acc|Numb=Plur	nos
aliqua	aliquis	PROind	Case=Acc|Numb=Plur	aliqua
conscripsere	conscribo	VER	Numb=Plur|Mood=Ind|Tense=Perf|Voice=Act|Person=3	conscripsere
inpulsus	impello	VER	Numb=Sing|Mood=Ind|Tense=Perf|Voice=Pass	inpulsus
enim	enim2	CONcoo	MORPH=empty	enim
sum	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=1	sum
contra	contra1	ADV	MORPH=empty	contra
I	eo1	VER	Numb=Sing|Mood=Imp|Tense=Pres|Voice=Act|Person=2	i
Apionem	apio	NOMcom	Case=Acc|Numb=Sing	apionem
respondere	respondeo	VER	Mood=Inf|Tense=Pres|Voice=Act	respondere
grammaticum	grammaticus1	NOMcom	Case=Acc|Numb=Sing	grammaticum
si	si2	CONsub	MORPH=empty	si
tamen	tamen	ADV	Deg=Pos	tamen
assumi	assumo	VER	Mood=Ind|Tense=Pres|Voice=Pass|Person=1	assumi
hoc	hic1	PROdem	Case=Acc|Numb=Sing	hoc
oportet	oportet	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	oportet
officium	officium	NOMcom	Case=Acc|Numb=Sing	officium
.	.	PUNC	MORPH=empty	.
horum	hic1	PROdem	Case=Gen|Numb=Plur	horum
igitur	igitur	CONcoo	MORPH=empty	igitur
quae	qui1	PROrel	Case=Nom|Numb=Plur	quae
