form	lemma	POS	morph	treated_token
nempe	nempe	ADV	Deg=Pos	nempe
haec	hic1	PROdem	Case=Nom|Numb=Sing	haec
adsid	assum1	VER	Numb=Sing|Tense=Pres	adsid
-ue	ue	CONcoo	MORPH=empty	-ue
iam	iam	ADV	Deg=Pos	iam
clarum	clarus	ADJqua	Case=Acc|Numb=Sing|Deg=Pos	clarum
mane	mane2	ADV	Deg=Pos	mane
fenestras	fenestra	NOMcom	Case=Acc|Numb=Plur	fenestras
intrat	intro1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	intrat
et	et2	CONcoo	MORPH=empty	et
angustos	angustus	ADJqua	Case=Acc|Numb=Plur|Deg=Pos	angustos
extendit	extendo	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	extendit
lumine	lumen	NOMcom	Case=Abl|Numb=Sing	lumine
rimas	rima	NOMcom	Case=Acc|Numb=Plur	rimas
;	;	PUNC	MORPH=empty	;
stertimus	sterto	VER	Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=1	stertimus
indomitum	indomitus	ADJqua	Case=Acc|Numb=Sing|Deg=Pos	indomitum
quod	qui1	PROrel	Case=Nom|Numb=Sing	quod
despumare	despumo	VER	Mood=Inf|Tense=Pres|Voice=Act	despumare
Falernum	falernus	ADJqua	Case=Nom|Numb=Sing|Deg=Pos	falernum
sufficiat	sufficio	VER	Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3	sufficiat
quinta	quintus	ADJord	Case=Nom|Numb=Sing|Deg=Pos	quinta
dum	dum2	CONsub	MORPH=empty	dum
linea	linea	ADJqua	Case=Nom|Numb=Sing|Deg=Pos	linea
tangitur	tango	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Pass|Person=3	tangitur
umbra	umbra	NOMcom	Case=Abl|Numb=Sing	umbra
en	en	INJ	MORPH=empty	en
quid	quis1	PROint	Case=Acc|Numb=Sing	quid
agis	ago	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=2	agis
