form	lemma	POS	morph	treated_token
Cogitanti	cogito	VER	Case=Dat|Numb=Sing|Mood=Par|Tense=Pres|Voice=Act	cogitanti
mihi	ego	PROper	Case=Dat|Numb=Sing	mihi
et	et2	CONcoo	MORPH=empty	et
cum	cum3	CONsub	MORPH=empty	cum
animo	animus	NOMcom	Case=Abl|Numb=Sing	animo
meo	meus	PROpos	Case=Abl|Numb=Sing	meo
saepe	saepe	ADV	Deg=Pos	saepe
reputanti	reputo	VER	Case=Dat|Numb=Sing|Mood=Par|Tense=Pres|Voice=Act	reputanti
priorem	prior	ADJord	Case=Acc|Numb=Sing|Deg=Comp	priorem
illum	ille	PROdem	Case=Acc|Numb=Sing	illum
generis	genus?	NOMcom	Case=Gen|Numb=Sing	generis
humani	humanus	ADJqua	Case=Gen|Numb=Sing|Deg=Pos	humani
statum	status1	NOMcom	Case=Acc|Numb=Sing	statum
et	et2	CONcoo	MORPH=empty	et
mirum	mirus	ADJqua	Case=Nom|Numb=Sing|Deg=Pos	mirum
pariter	pariter	ADV	Deg=Pos	pariter
et	et2	CONcoo	MORPH=empty	et
indignum	indignus	ADJqua	Case=Nom|Numb=Sing|Deg=Pos	indignum
uideri	uideo	VER	Mood=Inf|Tense=Pres|Voice=Pass	uideri
solet	soleo	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=SemDep|Person=3	solet
quod	quod2	CONsub	MORPH=empty	quod
unius	unus	ADJcar	Case=Gen|Numb=Sing	unius
saeculi	saeculum	NOMcom	Case=Gen|Numb=Sing	saeculi
stultitia	stultitia	NOMcom	Case=Nom|Numb=Sing	stultitia
religiones	religio	NOMcom	Case=Acc|Numb=Plur	religiones
uarias	uarius	ADJqua	Case=Acc|Numb=Plur|Deg=Pos	uarias
suscipientis	suscipio	VER	Case=Acc|Numb=Plur|Mood=Par|Tense=Pres|Voice=Act	suscipientis
deos	deus	NOMcom	Case=Acc|Numb=Plur	deos
-que	que	CONcoo	MORPH=empty	-que
multos	multi	ADJqua	Case=Acc|Numb=Plur|Deg=Pos	multos
esse	sum1	VER	Mood=Inf|Tense=Pres|Voice=Act	esse
credentis	credo	VER	Case=Acc|Numb=Plur|Mood=Par|Tense=Pres|Voice=Act	credentis
in	in	PRE	MORPH=empty	in
tantam	tantus	PROdem	Case=Acc|Numb=Sing	tantam
subito	subito	ADV	Deg=Pos	subito
ignorationem	ignoratio	NOMcom	Case=Acc|Numb=Sing	ignorationem
sui	sui1	PROref	Case=Gen|Numb=Sing	sui
uentum	uentus	NOMcom	Numb=Sing	uentum
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	est
ut	ut4	CONsub	MORPH=empty	ut
ablata	aufero	VER	Case=Nom|Numb=Sing|Mood=Par|Tense=Perf|Voice=Pass	ablata
ex	ex	PRE	MORPH=empty	ex
oculis	oculus	NOMcom	Case=Abl|Numb=Plur	oculis
ueritate	ueritas	NOMcom	Case=Abl|Numb=Sing	ueritate
neque	neque	CONcoo	MORPH=empty	neque
religio	religio	NOMcom	Case=Nom|Numb=Sing	religio
dei	deus	NOMcom	Case=Gen|Numb=Sing	dei
ueri	uerum?	NOMcom	Case=Gen|Numb=Sing	ueri
neque	neque	CONcoo	MORPH=empty	neque
