form	lemma	POS	morph	treated_token
id	is	PROdem	Case=Acc|Numb=Sing	id
-que	que	CONcoo	MORPH=empty	-que
ipsa	ipse	PROdem	Case=Nom|Numb=Sing	ipsa
natura	natura	NOMcom	Case=Nom|Numb=Sing	natura
non	non	ADVneg	MORPH=empty	non
invitaret	inuito	VER	Numb=Sing|Mood=Sub|Tense=Impa|Voice=Act|Person=3	inuitaret
solum	solum2	ADV	Deg=Pos	solum
sed	sed	CONcoo	MORPH=empty	sed
etiam	etiam	ADV	Deg=Pos	etiam
cogeret	cogo	VER	Numb=Sing|Mood=Sub|Tense=Impa|Voice=Act|Person=3	cogeret
.	.	PUNC	MORPH=empty	.
nitito	nitor2	VER	Numb=Sing|Mood=Imp|Tense=Perf|Voice=Dep	nitito
excellunt	excello	VER	Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3	excellunt
Fanni	fannus	NOMcom	Case=Gen|Numb=Sing	fanni
causa	causa	NOMcom	Case=Abl|Numb=Sing	causa
difficilis	difficilis	ADJqua	Case=Nom|Numb=Plur|Deg=Pos	difficilis
laudare	laudo	VER	Mood=Inf|Tense=Pres|Voice=Act	laudare
puerum	puer	NOMcom	Case=Acc|Numb=Sing	puerum
;	;	PUNC	MORPH=empty	;
non	non	ADVneg	MORPH=empty	non
enim	enim2	CONcoo	MORPH=empty	enim
res	res	NOMcom	Case=Nom|Numb=Sing	res
laudanda	laudo	VER	Case=Nom|Numb=Sing|Mood=Adj|Voice=Pass	laudanda
sed	sed	CONcoo	MORPH=empty	sed
spes	spes	NOMcom	Case=Nom|Numb=Sing	spes
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	est
.	.	PUNC	MORPH=empty	.
Si	si2	CONsub	MORPH=empty	si
fas	fas	NOMcom	Case=Ind	fas
endo	endo	VER	MORPH=empty	endo
plagas	plaga?	NOMcom	Case=Acc|Numb=Plur	plagas
caelestum	caelestes	NOMcom	Case=Gen|Numb=Plur	caelestum
ascendere	ascendo	VER	Mood=Inf|Tense=Pres|Voice=Act	ascendere
cuiquam	quisquam	PROind	Case=Dat|Numb=Sing	cuiquam
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	est
Mi	ego	PROpos	Case=Dat|Numb=Sing	mi
soli	solus	PROind	Case=Dat|Numb=Sing	soli
caeli	caelum?	NOMcom	Case=Gen|Numb=Sing	caeli
maxima	magnus	ADJqua	Case=Nom|Numb=Sing|Deg=Sup	maxima
porta	porta	NOMcom	Case=Nom|Numb=Sing	porta
patet	pateo	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	patet
Est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	est
vero	uero3	ADV	Deg=Pos	uero
Africa	africa	ADJqua	Case=Nom|Numb=Sing|Deg=Pos	africa
-ne	ne2	CONcoo	MORPH=empty	-ne
;	;	PUNC	MORPH=empty	;
nam	nam	CONcoo	MORPH=empty	nam
et	et2	CONcoo	MORPH=empty	et
Herculi	herculus	NOMcom	Case=Gen|Numb=Sing	herculi
eadem	idem	PROdem	Case=Nom|Numb=Sing	eadem
ista	iste	PROdem	Case=Nom|Numb=Sing	ista
porta	porta	NOMcom	Case=Nom|Numb=Sing	porta
patuit	pateo	VER	Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3	patuit
.	.	PUNC	MORPH=empty	.
reapse	reapse	ADV	Deg=Pos	reapse
sepse	sepse	ADV	MORPH=empty	sepse
Quoniam	quoniam	CONsub	MORPH=empty	quoniam
sumus	sum1	VER	Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=1	sumus
ab	ab	PRE	MORPH=empty	ab
ipsa	ipse	PROdem	Case=Abl|Numb=Sing	ipsa
calce	calx?	NOMcom	Case=Abl|Numb=Sing	calce
eius	is	PROdem	Case=Gen|Numb=Sing	eius
interpellatio	interpellatio	NOMcom	Case=Nom|Numb=Sing	interpellatio
-ne	ne2	CONcoo	MORPH=empty	-ne
revocati	reuoco	VER	Case=Nom|Numb=Plur|Mood=Par|Tense=Perf|Voice=Pass	reuocati
.	.	PUNC	MORPH=empty	.
cui	quis?	PROrel	Case=Dat|Numb=Sing	cui
nemo	nemo	PROind	Case=Nom|Numb=Sing	nemo
civis	ciuis	NOMcom	Case=Nom|Numb=Sing	ciuis
neque	neque	CONcoo	MORPH=empty	neque
hostis	hostis	NOMcom	Case=Nom|Numb=Sing	hostis
Quivit	queo	VER	Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3	quiuit
pro	pro1	PRE	MORPH=empty	pro
factis	factum	NOMcom	Case=Abl|Numb=Plur	factis
reddere	reddo	VER	Mood=Inf|Tense=Pres|Voice=Act	reddere
par	par2	ADJqua	Case=Nom|Numb=Sing|Deg=Pos	par
pretium	pretium	NOMcom	Case=Acc|Numb=Sing	pretium
.	.	PUNC	MORPH=empty	.
Quicumque	quicumque1	PROrel	Case=Nom|Numb=Plur	quicumque
epulis	epulae	NOMcom	Case=Abl|Numb=Plur	epulis
et	et2	CONcoo	MORPH=empty	et
conviviis	conuiuium	NOMcom	Case=Abl|Numb=Plur	conuiuiis
et	et2	CONcoo	MORPH=empty	et
sumptibus	sumptus?	NOMcom	Case=Abl|Numb=Plur	sumptibus
existimationem	existimatio	NOMcom	Case=Acc|Numb=Sing	existimationem
hominum	homo	NOMcom	Case=Gen|Numb=Plur	hominum
sibi	sui1	PROref	Case=Dat|Numb=Sing	sibi
conciliant	concilio	VER	Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3	conciliant
palam	palam1	ADV	Deg=Pos	palam
ostendunt	ostendo	VER	Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3	ostendunt
sibi	sui1	PROref	Case=Dat|Numb=Sing	sibi
verum	uerus	ADJqua	Case=Acc|Numb=Sing|Deg=Pos	uerum
decus	decus	NOMcom	Case=Acc|Numb=Sing	decus
quod	qui1	PROrel	Case=Nom|Numb=Sing	quod
ex	ex	PRE	MORPH=empty	ex
virtute	uirtus	NOMcom	Case=Abl|Numb=Sing	uirtute
ac	ac1	CONcoo	MORPH=empty	ac
dignitate	dignitas	NOMcom	Case=Abl|Numb=Sing	dignitate
