form	lemma	POS	morph	treated_token
EUPHEMUM	epphemus	NOMcom	Case=Acc|Numb=Sing	evphemvm
Ciconum	cico	NOMcom	Case=Gen|Numb=Plur	ciconum
ductorem	ductor	NOMcom	Case=Acc|Numb=Sing	ductorem
Troia	troius	ADJqua	Case=Acc|Numb=Sing|Deg=Pos	troia
tellus	tellus	NOMcom	Case=Nom|Numb=Sing	tellus
condidit	condo	VER	Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3	condidit
hastati	hastas	NOMcom	Case=Gen|Numb=Sing	hastati
Martis	martus	ADJqua	Case=Gen|Numb=Sing|Deg=Pos	martis
ad	ad2	PRE	MORPH=empty	ad
effigiem	effigies	NOMcom	Case=Acc|Numb=Sing	effigiem
nec	nec2	CONcoo	MORPH=empty	nec
satis	satis1	ADJqua	Case=Ind|Deg=Pos	satis
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	est
titulum	titulus	NOMcom	Case=Acc|Numb=Sing	titulum
saxo	saxum	NOMcom	Case=Abl|Numb=Sing	saxo
incidisse	incido?	VER	Mood=Inf|Tense=Perf|Voice=Act	incidisse
sepulcri	sepulcrum	NOMcom	Case=Gen|Numb=Sing	sepulcri
;	;	PUNC	MORPH=empty	;
insuper	insuper1	ADV	Deg=Pos	insuper
et	et2	CONcoo	MORPH=empty	et
frontem	frons?	NOMcom	Case=Acc|Numb=Sing	frontem
mole	moles	NOMcom	Case=Abl|Numb=Sing	mole
onerant	onero	VER	Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3	onerant
statuae	statua	NOMcom	Case=Nom|Numb=Plur	statuae
ocius	ociter	ADV	Deg=Comp	ocius
ista	iste	PROdem	Case=Nom|Numb=Plur	ista
ruunt	ruo	VER	Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3	ruunt
quae	qui1	PROrel	Case=Nom|Numb=Plur	quae
sic	sic	ADV	Deg=Pos	sic
cumulata	cumulo	VER	Case=Nom|Numb=Plur|Mood=Par|Tense=Perf|Voice=Pass	cumulata
locantur	loco	VER	Numb=Plur|Mood=Ind|Tense=Pres|Voice=Pass|Person=3	locantur
maior	magnus	ADJqua	Case=Nom|Numb=Sing|Deg=Comp	maior
ubi	ubi3	CONsub	MORPH=empty	ubi
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	est
cultus	cultus1	NOMcom	Case=Nom|Numb=Sing	cultus
magna	magnus	ADJqua	Case=Nom|Numb=Sing|Deg=Pos	magna
ruina	ruina	NOMcom	Case=Nom|Numb=Sing	ruina
subest	subsum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	subest
.	.	PUNC	MORPH=empty	.
