form	lemma	POS	morph	treated_token
Octauum	octauus	ADJord	Case=Acc|Numb=Sing|Deg=Pos	octauum
quod	quis?	PROrel	Case=Nom|Numb=Sing	quod
extremum	exter	ADJqua	Case=Acc|Numb=Sing|Deg=Sup	extremum
aduersus	aduersus3	PRE	MORPH=empty	aduersus
spiritum	spiritus	NOMcom	Case=Acc|Numb=Sing	spiritum
superbi	superbus2	ADJqua	Case=Gen|Numb=Sing|Deg=Pos	superbi
nobis	nos	PROper	Case=Dat|Numb=Plur	nobis
certamen	certamen	NOMcom	Case=Nom|Numb=Sing	certamen
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	est
.	.	PUNC	MORPH=empty	.
qui	qui1	PROrel	Case=Nom|Numb=Sing	qui
morbus	morbus	NOMcom	Case=Nom|Numb=Sing	morbus
licet	licet3	CONsub	Numb=Sing|Person=3	licet
ultimus	ultimus	ADJqua	Case=Nom|Numb=Sing|Deg=Pos	ultimus
sit	sum1	VER	Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3	sit
in	in	PRE	MORPH=empty	in
conflictu	conflictus	NOMcom	Case=Abl|Numb=Sing	conflictu
uitiorum	uitium	NOMcom	Case=Gen|Numb=Plur	uitiorum
atque	atque1	CONcoo	MORPH=empty	atque
in	in	PRE	MORPH=empty	in
ordine	ordo	NOMcom	Case=Abl|Numb=Sing	ordine
ponatur	pono	VER	Numb=Sing|Mood=Sub|Tense=Pres|Voice=Pass|Person=3	ponatur
extremus	exter	ADJqua	Case=Nom|Numb=Sing|Deg=Sup	extremus
origine	origo	NOMcom	Case=Abl|Numb=Sing	origine
tamen	tamen	ADV	Deg=Pos	tamen
et	et2	CONcoo	MORPH=empty	et
tempore	tempus?	NOMcom	Case=Abl|Numb=Sing	tempore
primus	primus	ADJord	Case=Nom|Numb=Sing|Deg=Sup	primus
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	est
saeuissima	saeuus	ADJqua	Case=Acc|Numb=Sing|Deg=Sup	saeuissima
et	et2	CONcoo	MORPH=empty	et
superioribus	superus	ADJqua	Case=Abl|Numb=Plur|Deg=Comp	superioribus
