form	lemma	POS	morph	treated_token
Adpropiet	appropio	VER	Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3	adpropiet
oratio	oratio	NOMcom	Case=Nom|Numb=Sing	oratio
mea	meus	PROpos	Case=Nom|Numb=Sing	mea
in	in	PRE	MORPH=empty	in
conspectu	conspectus1	NOMcom	Case=Abl|Numb=Sing	conspectu
tuo	tuus	PROpos	Case=Abl|Numb=Sing	tuo
domi	domus	NOMcom	Case=Loc|Numb=Sing	domi
-ne	ne2	CONcoo	MORPH=empty	-ne
.	.	PUNC	MORPH=empty	.
et	et2	CONcoo	MORPH=empty	et
reliqua	reliquum	NOMcom	Case=Acc|Numb=Plur|Deg=Pos	reliqua
.	.	PUNC	MORPH=empty	.
Finem	finis	NOMcom	Case=Acc|Numb=Sing	finem
sumit	sumo	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	sumit
secundum	secundum2	PRE	MORPH=empty	secundum
litteram	littera	NOMcom	Case=Acc|Numb=Sing	litteram
psalmus	psalmus	NOMcom	Case=Nom|Numb=Sing	psalmus
.	.	PUNC	MORPH=empty	.
nam	nam	CONcoo	MORPH=empty	nam
omnibus	omnis	PROind	Case=Dat|Numb=Plur	omnibus
his	hic1	PROdem	Case=Dat|Numb=Plur	his
quse	qui1	PROrel	Case=Nom|Numb=Sing	quse
sancto	sanctus	ADJqua	Case=Dat|Numb=Sing|Deg=Pos	sancto
uiro	uir	NOMcom	Case=Dat|Numb=Sing	uiro
erant	sum1	VER	Numb=Plur|Mood=Ind|Tense=Impa|Voice=Act|Person=3	erant
propria	proprius	ADJqua	Case=Nom|Numb=Plur|Deg=Pos	propria
.	.	PUNC	MORPH=empty	.
iuxta	iuxta2	PRE	MORPH=empty	iuxta
hebraicorum	hebraicus	ADJqua	Case=Gen|Numb=Plur|Deg=Pos	hebraicorum
elementorum	elementum	NOMcom	Case=Gen|Numb=Plur	elementorum
ordinem	ordo	NOMcom	Case=Acc|Numb=Sing	ordinem
conprehensis	comprehendo	VER	Case=Abl|Numb=Plur|Mood=Par|Tense=Perf|Voice=Pass	conprehensis
nunc	nunc	ADV	Deg=Pos	nunc
propheta	propheo	VER	Numb=Sing|Mood=Ind	propheta
ut	ut4	CONsub	MORPH=empty	ut
oratio	oratio	NOMcom	Case=Nom|Numb=Sing	oratio
eius	is	PROdem	Case=Gen|Numb=Sing	eius
deo	deus	NOMcom	Case=Dat|Numb=Sing	deo
sit	sum1	VER	Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3	sit
proxima	propior	ADJqua	Case=Nom|Numb=Sing|Deg=Pos	proxima
deprecatur	deprecor	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Dep|Person=3	deprecatur
adpropiet	appropio	VER	Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3	adpropiet
.	.	PUNC	MORPH=empty	.
oratio	oratio	NOMcom	Case=Nom|Numb=Sing	oratio
mea	meus	PROpos	Case=Nom|Numb=Sing	mea
in	in	PRE	MORPH=empty	in
conspectu	conspectus1	NOMcom	Case=Abl|Numb=Sing	conspectu
tuo	tuus	PROpos	Case=Abl|Numb=Sing	tuo
domi	domus	NOMcom	Case=Loc|Numb=Sing	domi
-ne	ne2	CONcoo	MORPH=empty	-ne
secundum	secundum2	PRE	Numb=Sing	secundum
eloquium	eloquium	NOMcom	Case=Acc|Numb=Sing	eloquium
tuum	tuus	PROpos	Case=Acc|Numb=Sing	tuum
da	do	VER	Numb=Sing|Mood=Imp|Tense=Pres|Voice=Act|Person=2	da
mihi	ego	PROper	Case=Dat|Numb=Sing	mihi
intellectum	intelligo	VER	Numb=Sing|Tense=Perf|Voice=Pass	intellectum
.	.	PUNC	MORPH=empty	.
multa	multus	ADJqua	Case=Nom|Numb=Plur|Deg=Pos	multa
sunt	sum1	VER	Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3	sunt
quae	qui1	PROrel	Case=Acc|Numb=Plur	quae
