form	lemma	POS	morph	treated_token
Manus	manus1	NOMcom	Case=Acc|Numb=Plur	manus
tuae	tuus	PROpos	Case=Nom|Numb=Plur	tuae
fecerunt	facio	VER	Numb=Plur|Mood=Ind|Tense=Perf|Voice=Act|Person=3	fecerunt
me	ego	PROper	Case=Acc|Numb=Sing	me
et	et2	CONcoo	MORPH=empty	et
parauerunt	paro2	VER	Numb=Plur|Mood=Ind|Tense=Perf|Voice=Act|Person=3	parauerunt
me	ego	PROper	Case=Acc|Numb=Sing	me
et	et2	CONcoo	MORPH=empty	et
reliqua	reliquum	ADJqua	Case=Acc|Numb=Plur|Deg=Pos	reliqua
.	.	PUNC	MORPH=empty	.
Commune	communis	ADJqua	Case=Nom|Numb=Sing|Deg=Pos	commune
iudicium	iudicium	NOMcom	Case=Nom|Numb=Sing	iudicium
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	est
inter	inter	PRE	MORPH=empty	inter
omnia	omnis	PROind	Case=Acc|Numb=Plur	omnia
terrena	terrenus	ADJqua	Case=Acc|Numb=Plur|Deg=Pos	terrena
dei	deus	NOMcom	Case=Gen|Numb=Sing	dei
opera	opus?	NOMcom	Case=Nom|Numb=Plur	opera
nihil	nihil	PROind	Case=Ind	nihil
homine	homo	NOMcom	Case=Abl|Numb=Sing	homine
utilius	utilis	ADJqua	Case=Nom|Numb=Sing|Deg=Comp	utilius
nihil	nihil	PROind	Case=Ind	nihil
esse	sum1	VER	Mood=Inf|Tense=Pres|Voice=Act	esse
speciosius	speciosus	ADJqua	Case=Nom|Numb=Sing|Deg=Comp	speciosius
quia	quia	CONsub	MORPH=empty	quia
etsi	etsi2	CONsub	MORPH=empty	etsi
sint	sum1	VER	Numb=Plur|Mood=Sub|Tense=Pres|Voice=Act|Person=3	sint
aliqua	aliquis	PROind	Case=Nom|Numb=Plur	aliqua
pulchra	pulcher	ADJqua	Case=Nom|Numb=Plur|Deg=Pos	pulchra
et	et2	CONcoo	MORPH=empty	et
ornata	ornatus2	ADJqua	Case=Nom|Numb=Plur|Deg=Pos	ornata
.	.	PUNC	MORPH=empty	.
magnitudinem	magnitudo	NOMcom	Case=Acc|Numb=Sing	magnitudinem
quidem	quidem	ADV	Deg=Pos	quidem
eius	is	PROdem	Case=Gen|Numb=Sing	eius
qui	qui1	PROrel	Case=Nom|Numb=Sing	qui
ea	is	PROdem	Case=Acc|Numb=Plur	ea
tam	tam	ADV	Deg=Pos	tam
decora	decus	ADJqua	Case=Acc|Numb=Plur	decora
genuerit	gigno	VER	Numb=Sing|Mood=Sub|Tense=Perf|Voice=Act|Person=3	genuerit
testantur	testor	VER	Numb=Plur|Mood=Ind|Tense=Pres|Voice=Dep|Person=3	testantur
uerum	uerum4	CONcoo	MORPH=empty	uerum
speciei	specieus	NOMcom	Case=Nom|Numb=Plur	speciei
et	et2	CONcoo	MORPH=empty	et
ornatus	ornatus1	NOMcom	Case=Nom|Numb=Plur	ornatus
et	et2	CONcoo	MORPH=empty	et
institutionis	institutio	NOMcom	Case=Gen|Numb=Sing	institutionis
suae	suus	PROpos.ref	Case=Gen|Numb=Sing	suae
fructum	fructus	NOMcom	Case=Acc|Numb=Sing	fructum
