form	lemma	POS	morph	treated_token
Bonitatem	bonitas	NOMcom	Case=Acc|Numb=Sing	bonitatem
fecisti	facio	VER	Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=2	fecisti
cum	cum2	PRE	MORPH=empty	cum
seruo	seruus1	NOMcom	Numb=Sing|Person=1	seruo
domi	domus	NOMcom	Case=Loc|Numb=Sing	domi
-ne	ne2	CONcoo	MORPH=empty	-ne
secundum	secundum?	ADJord	Numb=Sing	secundum
uerbum	uerbum	NOMcom	Case=Acc|Numb=Sing	uerbum
tuum	tuus	PROpos	Case=Acc|Numb=Sing	tuum
et	et2	CONcoo	MORPH=empty	et
reliqua	reliquum	NOMcom	Case=Nom|Numb=Sing	reliqua
.	.	PUNC	MORPH=empty	.
Iam	iam	ADV	Deg=Pos	iam
in	in	PRE	MORPH=empty	in
exordio	exordium	NOMcom	Case=Abl|Numb=Sing	exordio
psalmi	psalmus	NOMcom	Case=Gen|Numb=Plur	psalmi
commemorauimus	commemoro	VER	Numb=Plur|Mood=Ind|Tense=Perf|Voice=Act|Person=1	commemorauimus
nihil	nihil	PROind	Case=Ind	nihil
aliud	alius	PROind	Case=Acc|Numb=Sing	aliud
in	in	PRE	MORPH=empty	in
eo	is	PROdem	Case=Abl|Numb=Sing	eo
quam	quam1	ADVrel	MORPH=empty	quam
doctrinam	doctrina	NOMcom	Case=Acc|Numb=Sing	doctrinam
humanae	humanus	ADJqua	Case=Gen|Numb=Sing|Deg=Pos	humanae
contineri	contineo	VER	Mood=Inf|Tense=Pres|Voice=Pass	contineri
per	per	PRE	MORPH=empty	per
quam	qui1	PROrel	Case=Acc	quam
ad	ad2	PRE	MORPH=empty	ad
cognitionem	cognitio	NOMcom	Case=Acc|Numb=Sing	cognitionem
dei	deus	NOMcom	Case=Gen|Numb=Sing	dei
ipsis	ipse	PROdem	Case=Dat|Numb=Plur	ipsis
tamquam	tamquam1	ADVrel	MORPH=empty	tamquam
paruoli	paruulus	ADJqua	Case=Gen|Numb=Plur|Deg=Pos	paruoli
litterarum	littera	NOMcom	Case=Gen|Numb=Plur	litterarum
elementis	elementa	NOMcom	Case=Abl|Numb=Plur	elementis
erudiremur	erudio	VER	Numb=Plur|Mood=Sub|Tense=Impa|Voice=Pass|Person=1	erudiremur
.	.	PUNC	MORPH=empty	.
ex	ex	PRE	MORPH=empty	ex
persona	persona	NOMcom	Case=Abl|Numb=Sing	persona
enim	enim2	CONcoo	MORPH=empty	enim
sua	suus	PROpos.ref	Case=Abl|Numb=Sing	sua
nos	nos	PROper	Case=Acc|Numb=Plur	nos
propheta	prophetus	ADJqua	Case=Acc|Numb=Plur|Deg=Pos	propheta
confirmat	confirmo	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	confirmat
qualiter	qualiter?	ADV	MORPH=empty	qualiter
in	in	PRE	MORPH=empty	in
omni	omnis	PROind	Case=Abl|Numb=Sing	omni
genere	genus?	NOMcom	Case=Abl|Numb=Sing	genere
diuini	diuinus2	ADJqua	Case=Gen|Numb=Sing|Deg=Pos	diuini
officii	officium	NOMcom	Case=Gen|Numb=Sing	officii
uersari	uersor	VER	Mood=Inf|Tense=Pres|Voice=Dep	uersari
nos	nos	PROper	Case=Acc|Numb=Plur	nos
oporteret	oportet	VER	Numb=Sing|Mood=Sub|Tense=Impa|Voice=Act|Person=3	oporteret
ut	ut4	CONsub	MORPH=empty	ut
per	per	PRE	MORPH=empty	per
disciplinam	disciplina	NOMcom	Case=Acc|Numb=Sing	disciplinam
adeptae	adipiscor	VER	Case=Gen|Numb=Sing|Mood=Par|Tense=Perf|Voice=Dep	adeptae
institutionis	institutio	NOMcom	Case=Gen|Numb=Sing	institutionis
fidei	fides?	NOMcom	Case=Gen|Numb=Sing	fidei
ordinem	ordo	NOMcom	Case=Acc|Numb=Sing	ordinem
teneremus	teneo	VER	Numb=Plur|Mood=Sub|Tense=Impa|Voice=Act|Person=1	teneremus
ut	ut4	CONsub	MORPH=empty	ut
ipso	ipse	PROdem	Case=Abl|Numb=Sing	ipso
illo	ille	PROdem	Case=Abl|Numb=Sing	illo
primo	primo	ADJord	Numb=Sing|Deg=Sup	primo
nonae	nonus	ADJord	Case=Gen|Numb=Sing	nonae
litterae	littera	NOMcom	Case=Nom|Numb=Plur	litterae
uersu	uersus1	NOMcom	Case=Abl|Numb=Sing	uersu
docetur	doceo	VER	Numb=Sing|Mood=Sub|Tense=Pres|Voice=Pass|Person=3	docetur
.	.	PUNC	MORPH=empty	.
ita	ita	ADV	Deg=Pos	ita
enim	enim2	CONcoo	MORPH=empty	enim
