form	lemma	POS	morph	treated_token
Iniquos	iniquus2	ADJqua	Case=Acc|Numb=Plur|Deg=Pos	iniquos
odio	odium	NOMcom	Case=Abl|Numb=Sing	odio
habui	habeo	VER	Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=1	habui
et	et2	CONcoo	MORPH=empty	et
legem	lex	NOMcom	Case=Acc|Numb=Sing	legem
tuam	tuus	PROpos	Case=Acc|Numb=Sing	tuam
dilexi	diligo3	VER	Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=1	dilexi
et	et2	CONcoo	MORPH=empty	et
reliqua	reliquus	ADJqua	Case=Acc|Numb=Sing|Deg=Pos	reliqua
.	.	PUNC	MORPH=empty	.
Praecepti	praecipio	VER	Case=Gen|Numb=Sing|Mood=Par|Tense=Perf|Voice=Pass	praecepti
euangelici	euangelicus	ADJqua	Case=Gen|Numb=Sing|Deg=Pos	euangelici
doctrina	doctrina	NOMcom	Case=Nom|Numb=Sing	doctrina
ea	is	PROdem	Case=Nom|Numb=Sing	ea
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	est
ut	ut4	CONsub	MORPH=empty	ut
inimicos	inimicus1	NOMcom	Case=Acc|Numb=Plur	inimicos
diligagamus	diligago	VER	Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=1	diligagamus
et	et2	CONcoo	MORPH=empty	et
non	non	ADVneg	MORPH=empty	non
solum	solum2	ADV	Deg=Pos	solum
amantibus	amans2	ADJqua	Case=Abl|Numb=Plur	amantibus
nos	nos	PROper	Case=Acc|Numb=Plur	nos
amorem	amor	NOMcom	Case=Acc|Numb=Sing	amorem
sed	sed	CONcoo	MORPH=empty	sed
etiam	etiam	ADV	Deg=Pos	etiam
his	hic1	PROdem	Case=Dat|Numb=Plur	his
qui	qui1	PROrel	Case=Nom|Numb=Plur	qui
nos	nos	PROper	Case=Acc|Numb=Plur	nos
oderint	odi	VER	Numb=Plur|Mood=Sub|Tense=Perf|Voice=Act|Person=3	oderint
debeamus	debeo	VER	Numb=Plur|Mood=Sub|Tense=Pres|Voice=Act|Person=1	debeamus
.	.	PUNC	MORPH=empty	.
ergo	ergo2	CONcoo	MORPH=empty	ergo
haec	hic1	PROdem	Case=Nom|Numb=Sing	haec
prophetae	prophetus	ADJqua	Case=Gen|Numb=Sing|Deg=Pos	prophetae
professio	professio	NOMcom	Case=Nom|Numb=Sing	professio
aduersari	aduersor	VER	Mood=Inf|Tense=Pres|Voice=Dep	aduersari
uidetur	uideo	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Pass|Person=3	uidetur
dominicis	dominicus	ADJqua	Case=Abl|Numb=Plur|Deg=Pos	dominicis
mandatis	mandatum	NOMcom	Case=Abl|Numb=Plur	mandatis
ut	ut4	CONsub	MORPH=empty	ut
cum	cum3	CONsub	MORPH=empty	cum
amor	amor	NOMcom	Case=Nom|Numb=Sing	amor
nobis	nos	PROper	Case=Dat|Numb=Plur	nobis
inimicorum	inimicus1	NOMcom	Case=Gen|Numb=Plur	inimicorum
imperetur	impero	VER	Numb=Sing|Mood=Sub|Tense=Pres|Voice=Pass|Person=3	imperetur
ille	ille	PROdem	Case=Nom|Numb=Sing	ille
quod	quod2	CONsub	MORPH=empty	quod
iniquos	iniquus2	ADJqua	Case=Acc|Numb=Plur|Deg=Pos	iniquos
oderit	odi	VER	Numb=Sing|Mood=Sub|Tense=Perf|Voice=Act|Person=3	oderit
tamquam	tamquam2	CONsub	MORPH=empty	tamquam
bonum	bonus	ADJqua	Case=Acc|Numb=Sing|Deg=Pos	bonum
opus	opus?	NOMcom	Case=Acc	opus
praeferat	praefero	VER	Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3	praeferat
.	.	PUNC	MORPH=empty	.
Sed	sed	CONcoo	MORPH=empty	sed
huius	hic1	PROdem	Case=Gen|Numb=Sing	huius
ipsius	ipse	PROdem	Case=Gen|Numb=Sing	ipsius
dicti	dictum	NOMcom	Case=Gen|Numb=Sing	dicti
ratio	ratio	NOMcom	Case=Nom|Numb=Sing	ratio
ex	ex	PRE	MORPH=empty	ex
ipsis	ipse	PROdem	Case=Abl|Numb=Plur	ipsis
euangeliis	euangelium	NOMcom	Case=Abl|Numb=Plur	euangeliis
noscenda	nosco	VER	Case=Nom|Numb=Sing|Mood=Adj|Voice=Pass	noscenda
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	est
.	.	PUNC	MORPH=empty	.
nam	nam	CONcoo	MORPH=empty	nam
dominus	dominus	NOMcom	Case=Nom|Numb=Sing	dominus
qui	qui1	PROrel	Case=Nom|Numb=Sing	qui
inimicos	inimicus1	NOMcom	Case=Acc|Numb=Plur	inimicos
diligi	diligo3	VER	Mood=Inf|Tense=Pres|Voice=Pass	diligi
iussit	iubeo	VER	Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3	iussit
et	et2	CONcoo	MORPH=empty	et
maledicentes	maledico2	VER	Case=Acc|Numb=Plur|Mood=Par|Tense=Pres|Voice=Act	maledicentes
patrem	pater	NOMcom	Case=Acc|Numb=Sing	patrem
aut	aut	CONcoo	MORPH=empty	aut
matrem	mater	NOMcom	Case=Acc|Numb=Sing	matrem
reos	reus	NOMcom	Case=Acc|Numb=Plur	reos
mortis	mors	NOMcom	Case=Gen|Numb=Sing	mortis
esse	sum1	VER	Mood=Inf|Tense=Pres|Voice=Act	esse
constituit	constituo	VER	Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3	constituit
rursum	rursus	ADV	Deg=Pos	rursum
alio	alius	PROind	Case=Abl|Numb=Sing	alio
in	in	PRE	MORPH=empty	in
loco	locus	NOMcom	Case=Abl|Numb=Sing	loco
praecepit	praecipio	VER	Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3	praecepit
dicens	dico?	VER	Case=Nom|Numb=Sing|Mood=Par|Tense=Pres|Voice=Act	dicens
si	si2	CONsub	MORPH=empty	si
quis	quis2	PROind	Case=Nom|Numb=Sing	quis
uenit	uenio	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	uenit
ad	ad2	PRE	MORPH=empty	ad
me	ego	PROper	Case=Acc|Numb=Sing	me
et	et2	CONcoo	MORPH=empty	et
non	non	ADVneg	MORPH=empty	non
oderit	odi	VER	Numb=Sing|Mood=Ind|Tense=Fut|Voice=Act|Person=3	oderit
patrem	pater	NOMcom	Case=Acc|Numb=Sing	patrem
suum	suus	PROpos.ref	Case=Acc|Numb=Sing	suum
et	et2	CONcoo	MORPH=empty	et
matrem	mater	NOMcom	Case=Acc|Numb=Sing	matrem
suam	suus	PROpos.ref	Case=Acc|Numb=Sing	suam
et	et2	CONcoo	MORPH=empty	et
uxorem	uxor	NOMcom	Case=Acc|Numb=Sing	uxorem
et	et2	CONcoo	MORPH=empty	et
filios	filius	NOMcom	Case=Acc|Numb=Plur	filios
et	et2	CONcoo	MORPH=empty	et
fratres	frater	NOMcom	Case=Acc|Numb=Plur	fratres
et	et2	CONcoo	MORPH=empty	et
sorores	soror	NOMcom	Case=Acc|Numb=Plur	sorores
adhuc	adhuc	ADV	Deg=Pos	adhuc
etiam	etiam	ADV	Deg=Pos	etiam
et	et2	CONcoo	MORPH=empty	et
animam	anima	NOMcom	Case=Acc|Numb=Sing	animam
suam	suus	PROpos.ref	Case=Acc|Numb=Sing	suam
non	non	ADVneg	MORPH=empty	non
potest	possum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	potest
meus	meus	PROpos	Case=Nom|Numb=Sing	meus
discipulus	discipulus	NOMcom	Case=Nom|Numb=Sing	discipulus
esse	sum1	VER	Mood=Inf|Tense=Pres|Voice=Act	esse
.	.	PUNC	MORPH=empty	.
ergo	ergo2	CONcoo	MORPH=empty	ergo
haec	hic1	PROdem	Case=Nom|Numb=Plur	haec
uidentur	uideo	VER	Numb=Plur|Mood=Ind|Tense=Pres|Voice=Pass|Person=3	uidentur
sibi	sui1	PROref	Case=Dat|Numb=Sing	sibi
esse	sum1	VER	Mood=Inf|Tense=Pres|Voice=Act	esse
contraria	contrarius	ADJqua	Case=Acc|Numb=Plur|Deg=Pos	contraria
ut	ut4	CONsub	MORPH=empty	ut
cuius	qui1	PROrel	Case=Gen|Numb=Sing	cuius
ex	ex	PRE	MORPH=empty	ex
praecepto	praeceptum	NOMcom	Case=Abl|Numb=Sing	praecepto
non	non	ADVneg	MORPH=empty	non
solum	solum2	ADV	Deg=Pos	solum
odium	odium	NOMcom	Case=Nom|Numb=Sing	odium
in	in	PRE	MORPH=empty	in
parentes	parens1	NOMcom	Case=Acc|Numb=Plur	parentes
sed	sed	CONcoo	MORPH=empty	sed
maledictio	maledictio	NOMcom	Case=Nom|Numb=Sing	maledictio
tantum	tantum2	ADV	Deg=Pos	tantum
morte	mors	NOMcom	Case=Abl|Numb=Sing	morte
sit	sum1	VER	Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3	sit
digna	dignus	ADJqua	Case=Nom|Numb=Sing|Deg=Pos	digna
ipse	ipse	PROdem	Case=Nom|Numb=Sing	ipse
rursum	rursus	ADV	Deg=Pos	rursum
dicat	dico?	VER	Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3	dicat
neminem	nemo	PROind	Case=Acc|Numb=Sing	neminem
discipulum	discipulus	NOMcom	Case=Acc|Numb=Sing	discipulum
suum	suus	PROpos.ref	Case=Acc|Numb=Sing	suum
esse	sum1	VER	Mood=Inf|Tense=Pres|Voice=Act	esse
posse	possum1	VER	Mood=Inf|Tense=Pres|Voice=Act	posse
nisi	nisi	CONsub	MORPH=empty	nisi
qui	qui1	PROrel	Case=Nom|Numb=Sing	qui
patrem	pater	NOMcom	Case=Acc|Numb=Sing	patrem
et	et2	CONcoo	MORPH=empty	et
matrem	mater	NOMcom	Case=Acc|Numb=Sing	matrem
et	et2	CONcoo	MORPH=empty	et
uxorem	uxor	NOMcom	Case=Acc|Numb=Sing	uxorem
et	et2	CONcoo	MORPH=empty	et
filios	filius	NOMcom	Case=Acc|Numb=Plur	filios
et	et2	CONcoo	MORPH=empty	et
fratres	frater	NOMcom	Case=Acc|Numb=Plur	fratres
et	et2	CONcoo	MORPH=empty	et
sorores	soror	NOMcom	Case=Acc|Numb=Plur	sorores
et	et2	CONcoo	MORPH=empty	et
animam	anima	NOMcom	Case=Acc|Numb=Sing	animam
suam	suus	PROpos.ref	Case=Acc|Numb=Sing	suam
oderit	odi	VER	Numb=Sing|Mood=Sub|Tense=Perf|Voice=Act|Person=3	oderit
.	.	PUNC	MORPH=empty	.
durus	durus	ADJqua	Case=Nom|Numb=Sing|Deg=Pos	durus
hic	hic1	PROdem	Case=Nom|Numb=Sing	hic
sermo	sermo	NOMcom	Case=Nom|Numb=Sing	sermo
et	et2	CONcoo	MORPH=empty	et
praeceptum	praeceptum	NOMcom	Case=Nom|Numb=Sing	praeceptum
graue	grauis	ADJqua	Case=Nom|Numb=Sing|Deg=Pos	graue
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	est
inpietatis	impietas	NOMcom	Case=Gen|Numb=Sing	inpietatis
necessitatem	necessitas	NOMcom	Case=Acc|Numb=Sing	necessitatem
ad	ad2	PRE	MORPH=empty	ad
consummationem	consummatio	NOMcom	Case=Acc|Numb=Sing	consummationem
religionis	religio	NOMcom	Case=Gen|Numb=Sing	religionis
inponere	impono	VER	Mood=Inf|Tense=Pres|Voice=Act	inponere
.	.	PUNC	MORPH=empty	.
Verum	aes	NOMcom	Case=Nom|Numb=Sing	verum
nihil	nihil	PROind	Case=Ind	nihil
a	ab	PRE	MORPH=empty	a
deo	deus	NOMcom	Case=Abl|Numb=Sing	deo
durum	durus	ADJqua	Case=Nom|Numb=Sing|Deg=Pos	durum
nihil	nihil	PROind	Case=Ind	nihil
impium	impius	ADJqua	Case=Nom|Numb=Sing|Deg=Pos	impium
nihil	nihil	PROind	Case=Ind	nihil
contrarium	contrarius	ADJqua	Case=Nom|Numb=Sing|Deg=Pos	contrarium
