form	lemma	POS	morph	treated_token
salutare	saluto	VER	Numb=Sing|Tense=Pres|Voice=Act	salutare
tuum	tuus	PROpos	Case=Acc|Numb=Sing	tuum
et	et2	CONcoo	MORPH=empty	et
tuum	tuus	PROpos	Case=Acc|Numb=Sing	tuum
spero	spero	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=1	spero
et	et2	CONcoo	MORPH=empty	et
reliqua	reliquum	NOMcom	Case=Acc|Numb=Plur|Deg=Pos	reliqua
.	.	PUNC	MORPH=empty	.
humanae	humanus	ADJqua	Case=Gen|Numb=Sing|Deg=Pos	humanae
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	est
ut	ut4	CONsub	MORPH=empty	ut
cum	cum3	CONsub	MORPH=empty	cum
id	is	PROdem	Case=Nom|Numb=Sing	id
quod	qui1	PROrel	Case=Nom|Numb=Sing	quod
desiderat	desidero	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	desiderat
non	non	ADVneg	MORPH=empty	non
potest	possum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	potest
obtinere	obtineo	VER	Mood=Inf|Tense=Pres|Voice=Act	obtinere
per	per	PRE	MORPH=empty	per
desiderii	desiderium	NOMcom	Case=Gen|Numb=Sing	desiderii
iugem	iuges	NOMcom	Case=Acc|Numb=Sing	iugem
cupiditatem	cupiditas	NOMcom	Case=Acc|Numb=Sing	cupiditatem
animi	animus	NOMcom	Case=Gen|Numb=Sing	animi
defectio	defectio	NOMcom	Case=Nom|Numb=Sing	defectio
-ne	ne2	CONcoo	MORPH=empty	-ne
teneatur	teneo	VER	Numb=Sing|Mood=Sub|Tense=Pres|Voice=Pass|Person=3	teneatur
.	.	PUNC	MORPH=empty	.
et	et2	CONcoo	MORPH=empty	et
hoc	hic1	PROdem	Case=Acc|Numb=Sing	hoc
