form	lemma	POS	morph	treated_token
In	in	PRE	MORPH=empty	in
saeculum	saeculum	NOMcom	Case=Acc|Numb=Sing	saeculum
domi	domus	NOMcom	Case=Loc|Numb=Sing	domi
-ne	ne2	CONcoo	MORPH=empty	-ne
permanet	permaneo	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	permanet
uerbum	uerbum	NOMcom	Case=Nom|Numb=Sing	uerbum
tuum	tuus	PROpos	Case=Nom|Numb=Sing	tuum
in	in	PRE	MORPH=empty	in
caelo	caelum?	NOMcom	Case=Abl|Numb=Sing	caelo
et	et2	CONcoo	MORPH=empty	et
reliqua	reliquus	ADJqua	Case=Nom|Numb=Sing|Deg=Pos	reliqua
.	.	PUNC	MORPH=empty	.
Sermonem	sermo	NOMcom	Case=Acc|Numb=Sing	sermonem
prophetae	prophetus	ADJqua	Case=Gen|Numb=Sing|Deg=Pos	prophetae
in	in	PRE	MORPH=empty	in
humilibus	humilis	ADJqua	Case=Abl|Numb=Plur|Deg=Pos	humilibus
ac	ac1	CONcoo	MORPH=empty	ac
peruulgatis	peruulgo1	VER	Case=Abl|Numb=Plur|Mood=Par|Tense=Perf|Voice=Pass	peruulgatis
demorari	demoror1	VER	Mood=Inf|Tense=Pres|Voice=Dep	demorari
decet	decet	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	decet
.	.	PUNC	MORPH=empty	.
sed	sed	CONcoo	MORPH=empty	sed
semper	semper	ADV	Deg=Pos	semper
excelsa	excelsus	ADJqua	Case=Acc|Numb=Plur|Deg=Pos	excelsa
et	et2	CONcoo	MORPH=empty	et
deo	deus	NOMcom	Case=Dat|Numb=Sing	deo
digna	dignus	ADJqua	Case=Acc|Numb=Plur|Deg=Pos	digna
tractare	tracto	VER	Mood=Inf|Tense=Pres|Voice=Act	tractare
atque	atque1	CONcoo	MORPH=empty	atque
ita	ita	ADV	Deg=Pos	ita
ut	ut4	CONsub	MORPH=empty	ut
dum	dum2	CONsub	MORPH=empty	dum
nos	nos	PROper	Case=Acc|Numb=Plur	nos
ad	ad2	PRE	MORPH=empty	ad
innocentis	innocens	ADJqua	Case=Acc|Numb=Sing|Deg=Pos	innocentis
obseruantiam	obseruantia	NOMcom	Case=Acc|Numb=Sing	obseruantiam
imbuit	imbuo	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	imbuit
ingenii	ingenium	NOMcom	Case=Gen|Numb=Sing	ingenii
quoque	quoque	ADV	Deg=Pos	quoque
nostri	nos	PROpos	Case=Gen|Numb=Sing	nostri
humilitatem	humilitas	NOMcom	Case=Acc|Numb=Sing	humilitatem
ad	ad2	PRE	MORPH=empty	ad
intellegentiam	intelligentia	NOMcom	Case=Acc|Numb=Sing	intellegentiam
diuinorum	diuina?	NOMcom	Case=Gen|Numb=Plur	diuinorum
et	et2	CONcoo	MORPH=empty	et
inuisibilium	inuisibilis	ADJqua	Case=Gen|Numb=Plur|Deg=Pos	inuisibilium
sacramentorum	sacramentum	NOMcom	Case=Gen|Numb=Plur	sacramentorum
extollat	extollo	VER	Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3	extollat
.	.	PUNC	MORPH=empty	.
nec	nec2	CONcoo	MORPH=empty	nec
sane	sane	ADV	Deg=Pos	sane
humana	humanus	ADJqua	Case=Nom|Numb=Sing|Deg=Pos	humana
infirmitas	infirmitas	NOMcom	Case=Nom|Numb=Sing	infirmitas
in	in	PRE	MORPH=empty	in
caelestem	caelestis	ADJqua	Case=Acc|Numb=Sing|Deg=Pos	caelestem
scientiam	scientia	NOMcom	Case=Acc|Numb=Sing	scientiam
se	sui1	PROref	Case=Acc|Numb=Sing	se
ipsa	ipse	PROdem	Case=Nom|Numb=Sing	ipsa
proueheret	proueho	VER	Numb=Sing|Mood=Sub|Tense=Impa|Voice=Act|Person=3	proueheret
nisi	nisi	CONsub	MORPH=empty	nisi
deo	deus	NOMcom	Case=Dat|Numb=Sing	deo
donum	donum	NOMcom	Case=Nom|Numb=Sing	donum
scientiae	scientia	NOMcom	Case=Gen|Numb=Sing	scientiae
per	per	PRE	MORPH=empty	per
doctrinam	doctrina	NOMcom	Case=Acc|Numb=Sing	doctrinam
spiritus	spiritus	NOMcom	Case=Acc|Numb=Sing	spiritus
largiente	largior	VER	Case=Abl|Numb=Sing|Mood=Par|Tense=Pres|Voice=Dep	largiente
ad	ad2	PRE	MORPH=empty	ad
cognitionem	cognitio	NOMcom	Case=Acc|Numb=Sing	cognitionem
et	et2	CONcoo	MORPH=empty	et
inperspicabilis	imperspicabilis	ADJqua	Case=Gen|Numb=Sing|Deg=Pos	inperspicabilis
naturae	natura	NOMcom	Case=Gen|Numb=Sing	naturae
erudiretur	erudio	VER	Numb=Sing|Mood=Sub|Tense=Impa|Voice=Pass|Person=3	erudiretur
.	.	PUNC	MORPH=empty	.
uolens	uolens	ADJqua	Case=Nom|Numb=Sing|Deg=Pos	uolens
igitur	igitur	CONcoo	MORPH=empty	igitur
propheta	prophetus	VER	Numb=Sing|Deg=Pos	propheta
praestare	praesto1	VER	Mood=Inf|Tense=Pres|Voice=Act	praestare
nos	nos	PROper	Case=Acc|Numb=Plur	nos
ac	ac1	CONcoo	MORPH=empty	ac
perficere	perficio	VER	Mood=Inf|Tense=Pres|Voice=Act	perficere
deo	deus	NOMcom	Case=Dat|Numb=Sing	deo
dignos	dignus	ADJqua	Case=Acc|Numb=Plur|Deg=Pos	dignos
et	et2	CONcoo	MORPH=empty	et
sciens	sciens	ADJqua	Case=Nom|Numb=Sing|Deg=Pos	sciens
repositum	repositus	VER	Case=Acc|Numb=Sing|Tense=Perf	repositum
humanae	humanus	ADJqua	Case=Gen|Numb=Sing|Deg=Pos	humanae
spei	spes	NOMcom	Case=Dat|Numb=Sing	spei
esse	sum1	VER	Mood=Inf|Tense=Pres|Voice=Act	esse
ut	ut4	CONsub	MORPH=empty	ut
in	in	PRE	MORPH=empty	in
caelestem	caelestis	ADJqua	Case=Acc|Numb=Sing|Deg=Pos	caelestem
gloriam	gloria	NOMcom	Case=Acc|Numb=Sing	gloriam
si	si2	CONsub	MORPH=empty	si
disciplinam	disciplina	NOMcom	Case=Acc|Numb=Sing	disciplinam
accederet	accedo1	VER	Numb=Sing|Mood=Sub|Tense=Impa|Voice=Act|Person=3	accederet
ita	ita	ADV	Deg=Pos	ita
