form	lemma	POS	morph	treated_token
Portio	portio	NOMcom	Case=Nom|Numb=Sing	portio
mea	meus	PROpos	Case=Nom|Numb=Sing	mea
dominus	dominus	NOMcom	Case=Nom|Numb=Sing	dominus
.	.	PUNC	MORPH=empty	.
dixi	dico?	VER	Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=1	dixi
custodire	custodio	VER	Mood=Inf|Tense=Pres|Voice=Act	custodire
legem	lex	NOMcom	Case=Acc|Numb=Sing	legem
tuam	tuus	PROpos	Case=Acc|Numb=Sing	tuam
et	et2	CONcoo	MORPH=empty	et
reliqua	reliquum	ADJqua	Case=Acc|Numb=Plur|Deg=Pos	reliqua
.	.	PUNC	MORPH=empty	.
psalmorum	psalmus	NOMcom	Case=Gen|Numb=Plur	psalmorum
codices	caudex	NOMcom	Case=Nom|Numb=Plur	codices
legentes	lego?	VER	Case=Nom|Numb=Plur|Mood=Par|Tense=Pres|Voice=Act	legentes
et	et2	CONcoo	MORPH=empty	et
nos	nos	PROper	Case=Nom|Numb=Plur	nos
ita	ita	ADV	Deg=Pos	ita
opinabamur	opinor	VER	Numb=Plur|Mood=Ind|Tense=Impa|Voice=Dep|Person=1	opinabamur
uersum	uersus1	NOMcom	Case=Acc|Numb=Sing	uersum
.	.	PUNC	MORPH=empty	.
qui	qui1	PROrel	Case=Nom|Numb=Plur	qui
octause	octaure	ADV	Deg=Pos	octause
litterae	littera	NOMcom	Case=Nom|Numb=Plur	litterae
primus	primus	ADJord	Case=Nom|Numb=Sing|Deg=Sup	primus
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	est
id	is	PROdem	Case=Nom|Numb=Sing	id
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	est
hunc	hic1	PROdem	Case=Acc|Numb=Sing	hunc
portio	portio	NOMcom	Case=Nom|Numb=Sing	portio
mea	meus	PROpos	Case=Nom|Numb=Sing	mea
dominus	dominus	NOMcom	Case=Nom|Numb=Sing	dominus
in	in	PRE	MORPH=empty	in
superioribus	superus	NOMcom	Case=Abl|Numb=Plur|Deg=Comp	superioribus
septimae	septimus	ADJord	Case=Gen|Numb=Plur|Deg=Pos	septimae
litterae	littera	NOMcom	Case=Nom|Numb=Plur	litterae
octo	octo	ADJcar	Case=Ind	octo
uersibus	uersus1	NOMcom	Case=Abl|Numb=Plur	uersibus
contineri	contineo	VER	Mood=Inf|Tense=Pres|Voice=Pass	contineri
quia	quia	CONsub	MORPH=empty	quia
ita	ita	ADV	Deg=Pos	ita
in	in	PRE	MORPH=empty	in
latinis	latina	NOMcom	Case=Abl|Numb=Plur	latinis
codicibus	caudex	NOMcom	Case=Abl|Numb=Plur	codicibus
atque	atque1	CONcoo	MORPH=empty	atque
etiam	etiam	ADV	Deg=Pos	etiam
in	in	PRE	MORPH=empty	in
nonnullis	nonnullus	PROind	Case=Abl|Numb=Plur	nonnullis
graecis	graeci	NOMcom	Case=Abl|Numb=Plur	graecis
scriptum	scribo	VER	Case=Nom|Numb=Sing|Mood=Par|Tense=Perf|Voice=Pass	scriptum
continebatur	contineo	VER	Numb=Sing|Mood=Ind|Tense=Impa|Voice=Pass|Person=3	continebatur
;	;	PUNC	MORPH=empty	;
et	et2	CONcoo	MORPH=empty	et
sane	sane	ADV	Deg=Pos	sane
absolutior	absolutus	ADJqua	Case=Nom|Numb=Sing|Deg=Comp	absolutior
ita	ita	ADV	Deg=Pos	ita
sensus	sensus	NOMcom	Case=Nom|Numb=Sing	sensus
uidebatur	uideo	VER	Numb=Sing|Mood=Ind|Tense=Impa|Voice=Pass|Person=3	uidebatur
;	;	PUNC	MORPH=empty	;
sed	sed	CONcoo	MORPH=empty	sed
secundum	secundum2	PRE	MORPH=empty	secundum
emendatum	emendatus	ADJqua	Case=Acc|Numb=Sing|Deg=Pos	emendatum
apud	apud	PRE	MORPH=empty	apud
Graecos	graecus	ADJqua	Case=Acc|Numb=Plur|Deg=Pos	graecos
psalmorum	psalmus	NOMcom	Case=Gen|Numb=Plur	psalmorum
librum	liber1	NOMcom	Case=Acc|Numb=Sing	librum
legentes	lego?	VER	Case=Nom|Numb=Plur|Mood=Par|Tense=Pres|Voice=Act	legentes
inuenimus	inuenio	VER	Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=1	inuenimus
hunc	hic1	PROdem	Case=Acc|Numb=Sing	hunc
uersum	uersus1	NOMcom	Case=Acc|Numb=Sing	uersum
non	non	ADVneg	MORPH=empty	non
nouissimum	nouus	ADJqua	Case=Acc|Numb=Sing|Deg=Sup	nouissimum
esse	sum1	VER	Mood=Inf|Tense=Pres|Voice=Act	esse
sed	sed	CONcoo	MORPH=empty	sed
primum	primum	ADJadv.ord	Deg=Sup	primum
.	.	PUNC	MORPH=empty	.
itaque	itaque	CONcoo	MORPH=empty	itaque
secundum	secundum2	PRE	MORPH=empty	secundum
hanc	hic1	PROdem	Case=Acc|Numb=Sing	hanc
cognitionem	cognitio	NOMcom	Case=Acc|Numb=Sing	cognitionem
nos	nos	PROper	Case=Nom|Numb=Plur	nos
quoque	quoque	ADV	Deg=Pos	quoque
tractare	tracto	VER	Mood=Inf|Tense=Pres|Voice=Act	tractare
de	de	PRE	MORPH=empty	de
eo	is	PROdem	Case=Abl|Numb=Sing	eo
adgressi	aggredior	VER	Case=Nom|Numb=Plur|Mood=Par|Tense=Perf|Voice=Dep	adgressi
sumus	sum1	VER	Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=1	sumus
.	.	PUNC	MORPH=empty	.
enim	enim2	CONcoo	MORPH=empty	enim
ita	ita	ADV	Deg=Pos	ita
portio	portio	NOMcom	Case=Nom|Numb=Sing	portio
.	.	PUNC	MORPH=empty	.
dixi	dico?	VER	Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=1	dixi
custodiam	custodia	NOMcom	Case=Acc|Numb=Sing|Person=1	custodiam
legem	lex	NOMcom	Case=Acc|Numb=Sing	legem
tuam	tuus	PROpos	Case=Acc|Numb=Sing	tuam
.	.	PUNC	MORPH=empty	.
rarus	rarus	ADJqua	Case=Nom|Numb=Sing|Deg=Pos	rarus
quisque	quisque2	PROind	Case=Nom|Numb=Sing	quisque
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	est
.	.	PUNC	MORPH=empty	.
cui	qui1	PROrel	Case=Dat|Numb=Sing	cui
ista	iste	PROdem	Case=Nom|Numb=Sing	ista
fiducia	fiducia	NOMcom	Case=Nom|Numb=Sing	fiducia
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	est
ut	ut4	CONsub	MORPH=empty	ut
portionem	portio	NOMcom	Case=Acc|Numb=Sing	portionem
suam	suus	PROpos.ref	Case=Acc|Numb=Sing	suam
esse	sum1	VER	Mood=Inf|Tense=Pres|Voice=Act	esse
deum	deus	NOMcom	Case=Acc|Numb=Sing	deum
audeat	audeo	VER	Numb=Sing|Mood=Sub|Tense=Pres|Voice=SemDep|Person=3	audeat
dicere	dico?	VER	Mood=Inf|Tense=Pres|Voice=Act	dicere
.	.	PUNC	MORPH=empty	.
renuntiandum	renuntio	VER	Case=Nom|Numb=Sing|Mood=Adj|Voice=Pass	renuntiandum
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	est
omnibus	omnis	PROind	Case=Dat|Numb=Plur	omnibus
-que	que	CONcoo	MORPH=empty	-que
rebus	res	NOMcom	Case=Dat|Numb=Plur	rebus
eius	is	PROdem	Case=Gen|Numb=Sing	eius
ut	ut4	CONsub	MORPH=empty	ut
nobis	nos	PROper	Case=Dat|Numb=Plur	nobis
deus	deus	NOMcom	Case=Nom|Numb=Sing	deus
portio	portio	NOMcom	Case=Nom|Numb=Sing	portio
sit	sum1	VER	Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3	sit
.	.	PUNC	MORPH=empty	.
si	si2	CONsub	MORPH=empty	si
nos	nos	PROper	Case=Acc|Numb=Plur	nos
ambitio	ambitio	NOMcom	Case=Nom|Numb=Sing	ambitio
detineat	detineo	VER	Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3	detineat
si	si2	CONsub	MORPH=empty	si
cura	cura	NOMcom	Case=Nom|Numb=Sing	cura
pecuniae	pecunia	NOMcom	Case=Gen|Numb=Sing	pecuniae
occupet	occupo2	VER	Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3	occupet
si	si2	CONsub	MORPH=empty	si
libidinum	libido	NOMcom	Case=Gen|Numb=Plur	libidinum
capiant	capio2	VER	Numb=Plur|Mood=Sub|Tense=Pres|Voice=Act|Person=3	capiant
si	si2	CONsub	MORPH=empty	si
negotia	negotium	NOMcom	Case=Nom|Numb=Plur	negotia
rerum	res	NOMcom	Case=Gen|Numb=Plur	rerum
familiarium	familiaris1	NOMcom	Case=Gen|Numb=Plur	familiarium
demorentur	demoror1	VER	Numb=Plur|Mood=Sub|Tense=Pres|Voice=Dep|Person=3	demorentur
.	.	PUNC	MORPH=empty	.
portio	portio	NOMcom	Case=Nom|Numb=Sing	portio
nobis	nos	PROper	Case=Dat|Numb=Plur	nobis
deus	deus	NOMcom	Case=Nom|Numb=Sing	deus
non	non	ADVneg	MORPH=empty	non
erit	sum1	VER	Numb=Sing|Mood=Ind|Tense=Fut|Voice=Act|Person=3	erit
curarum	cura	NOMcom	Case=Gen|Numb=Plur	curarum
atque	atque1	CONcoo	MORPH=empty	atque
uitiorum	uitium	NOMcom	Case=Gen|Numb=Plur	uitiorum
possessio	possessio	NOMcom	Case=Nom|Numb=Sing	possessio
-ne	ne2	CONcoo	MORPH=empty	-ne
detentis	detendo	VER	Case=Abl|Numb=Plur|Mood=Par|Tense=Perf|Voice=Pass	detentis
.	.	PUNC	MORPH=empty	.
Moysi	moyeo	VER	Case=Nom|Numb=Plur|Mood=Ind|Tense=Perf|Voice=Pass	moysi
cum	cum3	CONsub	MORPH=empty	cum
iussum	iubeo	VER	Case=Nom|Numb=Sing|Mood=Sub|Tense=Perf|Voice=Pass	iussum
esset	sum1	VER	Numb=Sing|Mood=Sub|Tense=Impa|Voice=Act|Person=3	esset
portiones	portio	NOMcom	Case=Acc|Numb=Plur	portiones
incolatus	incolo2	VER	Case=Nom|Numb=Sing|Mood=Par|Tense=Perf|Voice=Pass	incolatus
distribuere	distribuo	VER	Mood=Inf|Tense=Pres|Voice=Act	distribuere
gentibus	gens	NOMcom	Case=Dat|Numb=Plur	gentibus
filiorum	filius	NOMcom	Case=Gen|Numb=Plur	filiorum
ita	ita	ADV	Deg=Pos	ita
ei	is	PROdem	Case=Dat|Numb=Sing	ei
de	de	PRE	MORPH=empty	de
tribu	tribus	NOMcom	Case=Abl|Numb=Sing	tribu
Leuitica	leuiticus	NOMcom	Case=Abl|Numb=Sing	leuitica
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	est
filiis	filius	NOMcom	Case=Dat|Numb=Plur	filiis
Leui	leuis?	ADJqua	Case=Abl|Numb=Sing|Deg=Pos	leui
non	non	ADVneg	MORPH=empty	non
erit	sum1	VER	Numb=Sing|Mood=Ind|Tense=Fut|Voice=Act|Person=3	erit
portio	portio	NOMcom	Case=Nom|Numb=Sing	portio
neque	neque	CONcoo	MORPH=empty	neque
sors	sors	NOMcom	Case=Nom|Numb=Sing	sors
in	in	PRE	MORPH=empty	in
medio	medium	NOMcom	Case=Abl|Numb=Sing	medio
fratrum	frater	NOMcom	Case=Gen|Numb=Plur	fratrum
suorum	suus	PROpos.ref	Case=Gen|Numb=Plur	suorum
.	.	PUNC	MORPH=empty	.
quia	quia	CONsub	MORPH=empty	quia
dominus	dominus	NOMcom	Case=Nom|Numb=Sing	dominus
deus	deus	NOMcom	Case=Nom|Numb=Sing	deus
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	est
pars	pars	NOMcom	Case=Nom|Numb=Sing	pars
eorum	is	PROdem	Case=Gen|Numb=Plur	eorum
.	.	PUNC	MORPH=empty	.
et	et2	CONcoo	MORPH=empty	et
rursum	rursus	ADV	Deg=Pos	rursum
scriptum	scribo	VER	Case=Acc|Numb=Sing|Mood=Par|Tense=Perf|Voice=Pass	scriptum
meminimus	memini	VER	Numb=Plur|Mood=Ind|Tense=Perf|Voice=Act|Person=1	meminimus
.	.	PUNC	MORPH=empty	.
ego	ego	PROper	Case=Nom|Numb=Sing	ego
dominus	dominus	NOMcom	Case=Nom|Numb=Sing	dominus
pars	pars	NOMcom	Case=Nom|Numb=Sing	pars
eorum	is	PROdem	Case=Gen|Numb=Plur	eorum
.	.	PUNC	MORPH=empty	.
nullam	nullus	PROind	Case=Acc|Numb=Sing	nullam
ergo	ergo2	CONcoo	MORPH=empty	ergo
deo	deus	NOMcom	Case=Dat|Numb=Sing	deo
seruientibus	seruio	VER	Case=Dat|Numb=Plur|Mood=Par|Tense=Pres|Voice=Act	seruientibus
lex	lex	NOMcom	Case=Nom|Numb=Sing	lex
lata	fero	VER	Numb=Sing|Mood=Ind|Tense=Perf|Voice=Pass|Person=3	lata
terrenam	terrenus	ADJqua	Case=Acc|Numb=Sing|Deg=Pos	terrenam
esse	sum1	VER	Mood=Inf|Tense=Pres|Voice=Act	esse
uoluit	uolo?	VER	Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3	uoluit
portionem	portio	NOMcom	Case=Acc|Numb=Sing	portionem
quia	quia	CONsub	MORPH=empty	quia
pars	pars	NOMcom	Case=Nom|Numb=Sing	pars
eorum	is	PROdem	Case=Gen|Numb=Plur	eorum
deus	deus	NOMcom	Case=Nom|Numb=Sing	deus
esset	sum1	VER	Numb=Sing|Mood=Sub|Tense=Impa|Voice=Act|Person=3	esset
.	.	PUNC	MORPH=empty	.
Meminit	memini	VER	Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3	meminit
et	et1	ADV	Deg=Pos	et
euangelii	euangelium	NOMcom	Case=Gen|Numb=Sing	euangelii
praedicator	praedicator	NOMcom	Case=Nom|Numb=Sing	praedicator
ille	ille	PROdem	Case=Nom|Numb=Sing	ille
Petrus	petrus	NOMcom	Case=Nom|Numb=Sing	petrus
.	.	PUNC	MORPH=empty	.
nullam	nullus	PROind	Case=Acc|Numb=Sing	nullam
sibi	sui1	PROref	Case=Dat|Numb=Sing	sibi
esse	sum1	VER	Mood=Inf|Tense=Pres|Voice=Act	esse
portionem	portio	NOMcom	Case=Acc|Numb=Sing	portionem
possessionis	possessio	NOMcom	Case=Gen|Numb=Sing	possessionis
humanae	humanus	ADJqua	Case=Gen|Numb=Sing|Deg=Pos	humanae
.	.	PUNC	MORPH=empty	.
cum	cum3	CONsub	MORPH=empty	cum
oranti	oro	VER	Case=Dat|Numb=Sing|Mood=Par|Tense=Pres|Voice=Act	oranti
alimoniam	alimonia	NOMcom	Case=Acc|Numb=Sing	alimoniam
respondit	respondeo	VER	Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3	respondit
aurum	aurum	NOMcom	Case=Nom|Numb=Sing	aurum
et	et2	CONcoo	MORPH=empty	et
argentum	argentum	NOMcom	Case=Nom|Numb=Sing	argentum
non	non	ADVneg	MORPH=empty	non
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	est
mihi	ego	PROper	Case=Dat|Numb=Sing	mihi
;	;	PUNC	MORPH=empty	;
quod	qui1	PROrel	Case=Acc|Numb=Sing	quod
autem	autem	CONcoo	MORPH=empty	autem
habeo	habeo	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=1	habeo
hoc	hic1	PROdem	Case=Acc|Numb=Sing	hoc
tibi	tu	PROper	Case=Dat|Numb=Sing	tibi
do	do	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=1	do
.	.	PUNC	MORPH=empty	.
quid	quis1	PROint	Case=Nom|Numb=Sing	quid
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	est
istud	iste	PROdem	Case=Nom|Numb=Sing	istud
Petre	petre	VER	Voice=Act	petre
quod	qui1	PROrel	Case=Acc|Numb=Sing	quod
possides	possideo	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=2	possides
renuntiaueras	renuntio	VER	Numb=Sing|Mood=Ind|Tense=Pqp|Voice=Act|Person=2	renuntiaueras
omnibus	omnis	PROind	Case=Dat|Numb=Plur	omnibus
domino	dominus	NOMcom	Case=Dat|Numb=Sing	domino
tuo	tuus	PROpos	Case=Dat|Numb=Sing	tuo
dicens	dico?	VER	Case=Nom|Numb=Sing|Mood=Par|Tense=Pres|Voice=Act	dicens
ecce	ecce	INJ	MORPH=empty	ecce
nos	nos	PROper	Case=Nom|Numb=Plur	nos
omnia	omnis	PROind	Case=Acc|Numb=Plur	omnia
dereliquimus	derelinquo	VER	Numb=Plur|Mood=Ind|Tense=Perf|Voice=Act|Person=1	dereliquimus
et	et2	CONcoo	MORPH=empty	et
secuti	sequor	VER	Case=Nom|Numb=Plur|Mood=Par|Tense=Perf|Voice=Dep	secuti
sumus	sum1	VER	Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=1	sumus
te	tu	PROper	Case=Acc|Numb=Sing	te
quid	quis1	PROint	Case=Nom|Numb=Sing	quid
erit	sum1	VER	Numb=Sing|Mood=Ind|Tense=Fut|Voice=Act|Person=3	erit
nobis	nos	PROper	Case=Dat|Numb=Plur	nobis
et	et2	CONcoo	MORPH=empty	et
tibi	tu	PROper	Case=Dat|Numb=Sing	tibi
ille	ille	PROdem	Case=Nom|Numb=Sing	ille
responderat	respondeo	VER	Numb=Sing|Mood=Ind|Tense=Pqp|Voice=Act|Person=3	responderat
ame	ame	ADV	MORPH=empty	ame
-ne	ne2	CONcoo	MORPH=empty	-ne
dico	dico?	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=1	dico
uobis	uos	PROper	Case=Dat|Numb=Plur	uobis
.	.	PUNC	MORPH=empty	.
quod	qui1	PROrel	Case=Acc|Numb=Sing	quod
uos	uos	PROper	Case=Nom|Numb=Plur	uos
qui	qui1	PROrel	Case=Nom|Numb=Plur	qui
secuti	sequor	VER	Numb=Plur|Mood=Ind|Tense=Perf|Voice=Dep|Person=3	secuti
me	ego	PROper	Case=Acc|Numb=Sing	me
estis	sum1	VER	Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=2	estis
in	in	PRE	MORPH=empty	in
regeneratio	regeneratio	NOMcom	Case=Abl|Numb=Sing	regeneratio
-ne	ne2	CONcoo	MORPH=empty	-ne
sedebitis	sedeo	VER	Numb=Plur|Mood=Ind|Tense=Fut|Voice=Act|Person=2	sedebitis
super	super2	PRE	MORPH=empty	super
duodecim	duodecim	ADJcar	Case=Ind	duodecim
thronos	thronus	NOMcom	Case=Acc|Numb=Plur	thronos
iudicantes	iudico	VER	Case=Acc|Numb=Plur|Mood=Par|Tense=Pres|Voice=Act	iudicantes
duodecim	duodecim	ADJcar	Case=Ind	duodecim
tribus	tres	ADJcar	Case=Abl|Numb=Plur	tribus
Israhel	isragel	ADJqua	Case=Nom|Numb=Sing|Deg=Pos	israhel
.	.	PUNC	MORPH=empty	.
et	et2	CONcoo	MORPH=empty	et
exemplo	exemplum	NOMcom	Case=Abl|Numb=Sing	exemplo
uestro	uester	PROpos	Case=Abl|Numb=Sing	uestro
ceteris	ceteri	NOMcom	Case=Abl|Numb=Plur	ceteris
relinquentibus	relinquo	VER	Case=Abl|Numb=Plur|Mood=Par|Tense=Pres|Voice=Act	relinquentibus
cuncta	cunctus	ADJqua	Case=Acc|Numb=Plur|Deg=Pos	cuncta
spoponderat	spondeo	VER	Numb=Sing|Mood=Ind|Tense=Pqp|Voice=Act|Person=3	spoponderat
quod	quod2	CONsub	MORPH=empty	quod
et	et2	CONcoo	MORPH=empty	et
centuplum	centuplum	NOMcom	Case=Acc|Numb=Sing	centuplum
acciperent	accipio	VER	Numb=Plur|Mood=Sub|Tense=Impa|Voice=Act|Person=3	acciperent
et	et2	CONcoo	MORPH=empty	et
dehinc	dehinc	ADV	Deg=Pos	dehinc
uitam	uita	NOMcom	Case=Acc|Numb=Sing	uitam
possessuri	possideo	VER	Case=Nom|Numb=Plur|Mood=Par|Tense=Fut|Voice=Act	possessuri
essent	sum1	VER	Numb=Plur|Mood=Sub|Tense=Impa|Voice=Act|Person=3	essent
.	.	PUNC	MORPH=empty	.
quid	quis1	PROint	Case=Nom|Numb=Sing	quid
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	est
igitur	igitur	CONcoo	MORPH=empty	igitur
istud	iste	PROdem	Case=Nom|Numb=Sing	istud
Petre	petra	VER	MORPH=empty	petre
quod	qui1	PROrel	Case=Acc|Numb=Sing	quod
habes	habeo	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=2	habes
habes	habeo	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=2	habes
plane	plane	ADV	Deg=Pos	plane
et	et2	CONcoo	MORPH=empty	et
non	non	ADVneg	MORPH=empty	non
audeo	audeo	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=SemDep|Person=1	audeo
dicere	dico?	VER	Mood=Inf|Tense=Pres|Voice=Act	dicere
plus	multus	ADJqua	Case=Acc|Numb=Sing|Deg=Comp	plus
te	tu	PROper	Case=Acc|Numb=Sing	te
centuplo	centuplus	NOMcom	Case=Abl|Numb=Sing	centuplo
obtinere	obtineo	VER	Mood=Inf|Tense=Pres|Voice=Act	obtinere
;	;	PUNC	MORPH=empty	;
dico	dico?	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=1	dico
tamen	tamen	ADV	Deg=Pos	tamen
te	tu	PROper	Case=Acc|Numb=Sing	te
sine	sine	PRE	MORPH=empty	sine
multiplicatio	multiplicatio	NOMcom	Case=Abl|Numb=Sing	multiplicatio
-ne	ne2	CONcoo	MORPH=empty	-ne
calculi	calculus	NOMcom	Case=Gen|Numb=Sing	calculi
possidere	possideo	VER	Mood=Inf|Tense=Pres|Voice=Act	possidere
.	.	PUNC	MORPH=empty	.
dicis	dico?	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=2	dicis
enim	enim2	CONcoo	MORPH=empty	enim
quod	qui1	PROrel	Case=Acc|Numb=Sing	quod
habeo	habeo	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=1	habeo
hoc	hic1	PROdem	Case=Acc|Numb=Sing	hoc
tibi	tu	PROper	Case=Dat|Numb=Sing	tibi
do	do	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=1	do
in	in	PRE	MORPH=empty	in
nomine	nomen	NOMcom	Case=Abl|Numb=Sing	nomine
Iesu	iesus	NOMcom	Case=Abl|Numb=Sing	iesu
Christi	christus	NOMcom	Case=Gen|Numb=Sing	christi
surge	surgo	VER	Numb=Sing|Mood=Imp|Tense=Pres|Voice=Act|Person=2	surge
et	et2	CONcoo	MORPH=empty	et
ambula	ambulo	VER	Numb=Sing|Mood=Imp|Tense=Pres|Voice=Act|Person=2	ambula
.	.	PUNC	MORPH=empty	.
o	o	INJ	MORPH=empty	o
felix	felix	ADJqua	Case=Voc|Numb=Sing|Deg=Pos	felix
possessio	possessio	NOMcom	Case=Nom|Numb=Sing	possessio
o	o	INJ	MORPH=empty	o
perfecta	perfectus2	ADJqua	Case=Voc|Numb=Sing|Deg=Pos	perfecta
dei	deus	NOMcom	Case=Gen|Numb=Sing	dei
portio	portio	NOMcom	Case=Voc|Numb=Sing	portio
non	non	ADVneg	MORPH=empty	non
terrena	terrena	NOMcom	Case=Acc|Numb=Plur	terrena
largiris	largior	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Dep|Person=2	largiris
sed	sed	CONcoo	MORPH=empty	sed
naturae	natura	NOMcom	Case=Gen|Numb=Sing	naturae
opus	opus?	NOMcom	Case=Acc|Numb=Sing	opus
rependis	rependo	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=2	rependis
et	et2	CONcoo	MORPH=empty	et
uitiosi	uitiosus	ADJqua	Case=Gen|Numb=Sing|Deg=Pos	uitiosi
partus	partus1	NOMcom	Case=Gen|Numb=Plur	partus
damna	damnum	NOMcom	Case=Acc|Numb=Plur	damna
