form	lemma	POS	morph	treated_token
Iustus	iustus	ADJqua	Case=Nom|Numb=Sing|Deg=Pos	iustus
domi	domus	NOMcom	Case=Loc|Numb=Sing	domi
-ne	ne2	CONcoo	MORPH=empty	-ne
et	et2	CONcoo	MORPH=empty	et
rectum	rectus	ADJqua	Case=Acc|Numb=Sing|Deg=Pos	rectum
iudicium	iudicium	NOMcom	Case=Acc|Numb=Sing	iudicium
tuum	tuus	PROpos	Case=Acc|Numb=Sing	tuum
et	et2	CONcoo	MORPH=empty	et
reliqua	reliquum	NOMcom	Case=Nom|Numb=Plur	reliqua
.	.	PUNC	MORPH=empty	.
Indefessa	indefessus	ADJqua	Case=Nom|Numb=Sing|Deg=Pos	indefessa
et	et2	CONcoo	MORPH=empty	et
perseueranti	perseuero	VER	Case=Dat|Numb=Sing|Mood=Par|Tense=Pres|Voice=Act	perseueranti
fide	fides?	NOMcom	Case=Abl|Numb=Sing	fide
necessarium	necessarius2	ADJqua	Case=Nom|Numb=Sing|Deg=Pos	necessarium
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	est
ut	ut4	CONsub	MORPH=empty	ut
inmobilis	immobilis	ADJqua	Case=Nom|Numb=Sing|Deg=Pos	inmobilis
in	in	PRE	MORPH=empty	in
nobis	nos	PROper	Case=Abl|Numb=Plur	nobis
et	et2	CONcoo	MORPH=empty	et
inconcussa	inconcussus	ADJqua	Case=Nom|Numb=Sing|Deg=Pos	inconcussa
confessio	confessio	NOMcom	Case=Nom|Numb=Sing	confessio
sit	sum1	VER	Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3	sit
ne	ne4	CONsub	MORPH=empty	ne
uel	uel1	ADV	Deg=Pos	uel
aliqua	aliquis	PROind	Case=Abl|Numb=Sing	aliqua
temporum	tempus?	NOMcom	Case=Gen|Numb=Plur	temporum
iniuria	iniuria	NOMcom	Case=Abl|Numb=Sing	iniuria
aut	aut	CONcoo	MORPH=empty	aut
persecutionum	persecutio	NOMcom	Case=Gen|Numb=Plur	persecutionum
dolore	dolor	NOMcom	Case=Abl|Numb=Sing	dolore
commoti	commoueo	VER	Case=Gen|Numb=Plur|Mood=Par|Tense=Perf|Voice=Pass	commoti
deuotionis	deuotio	NOMcom	Case=Gen|Numb=Sing	deuotionis
studium	studium	NOMcom	Case=Acc|Numb=Sing	studium
relaxemus	relaxo	VER	Numb=Plur|Mood=Sub|Tense=Pres|Voice=Act|Person=1	relaxemus
sed	sed	CONcoo	MORPH=empty	sed
si	si2	CONsub	MORPH=empty	si
quando	quando?	ADV	MORPH=empty	quando
morbi	morbus	NOMcom	Case=Nom|Numb=Plur	morbi
